name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,transportation_class,ratio
Imperial Speeder Bike,74-Z speeder bike,Aratech Repulsor Company,8000,3,360,1.0,1.0,4,1 day,speeder,1.0
Vulture Droid,Vulture-class droid starfighter,"Haor Chall Engineering, Baktoid Armor Workshop",,3.5,1200,1.0,1.0,0,none,starfighter,1.0
Multi-Troop Transport,Multi-Troop Transport,Baktoid Armor Workshop,138000,31,35,4.0,112.0,12000,,repulsorcraft,28.0
Armored Assault Tank,Armoured Assault Tank,Baktoid Armor Workshop,,9.75,55,4.0,6.0,,,repulsorcraft,1.5
Single Trooper Aerial Platform,Single Trooper Aerial Platform,Baktoid Armor Workshop,2500,2,400,1.0,1.0,none,none,repulsorcraft,1.0
C-9979 landing craft,C-9979 landing craft,Haor Chall Engineering,200000,210,587,140.0,284.0,1800000,1 day,landing craft,2.0285714285714285
Tribubble bongo,Tribubble bongo,Otoh Gunga Bongameken Cooperative,,15,85,1.0,2.0,1600,,submarine,2.0
Sith speeder,FC-20 speeder bike,Razalon,4000,1.5,180,1.0,1.0,2,,speeder,1.0
Zephyr-G swoop bike,Zephyr-G swoop bike,Mobquet Swoops and Speeders,5750,3.68,350,1.0,1.0,200,none,repulsorcraft,1.0
Koro-2 Exodrive airspeeder,Koro-2 Exodrive airspeeder,Desler Gizh Outworld Mobility Corporation,,6.6,800,1.0,1.0,80,,airspeeder,1.0
XJ-6 airspeeder,XJ-6 airspeeder,Narglatch AirTech prefabricated kit,,6.23,720,1.0,1.0,,,airspeeder,1.0
LAAT/i,Low Altitude Assault Transport/infrantry,Rothana Heavy Engineering,,17.4,620,6.0,30.0,170,,gunship,5.0
LAAT/c,Low Altitude Assault Transport/carrier,Rothana Heavy Engineering,,28.82,620,1.0,1.0,40000,,gunship,1.0
Tsmeu-6 personal wheel bike,Tsmeu-6 personal wheel bike,Z-Gomot Ternbuell Guppat Corporation,15000,3.5,330,1.0,1.0,10,none,wheeled walker,1.0
Emergency Firespeeder,Fire suppression speeder,,,,,2.0,,,,fire suppression ship,
Droid tri-fighter,tri-fighter,"Colla Designs, Phlac-Arphocc Automata Industries",20000,5.4,1180,1.0,1.0,0,none,droid starfighter,1.0
Oevvaor jet catamaran,Oevvaor jet catamaran,Appazanna Engineering Works,12125,15.1,420,2.0,2.0,50,3 days,airspeeder,1.0
Raddaugh Gnasp fluttercraft,Raddaugh Gnasp fluttercraft,Appazanna Engineering Works,14750,7,310,2.0,1.0,20,none,air speeder,0.5
Clone turbo tank,HAVw A6 Juggernaut,Kuat Drive Yards,350000,49.4,160,20.0,300.0,30000,20 days,wheeled walker,15.0
Corporate Alliance tank droid,NR-N99 Persuader-class droid enforcer,Techno Union,49000,10.96,100,1.0,4.0,none,none,droid tank,4.0
Droid gunship,HMP droid gunship,"Baktoid Fleet Ordnance, Haor Chall Engineering",60000,12.3,820,1.0,1.0,0,none,airspeeder,1.0
AT-RT,All Terrain Recon Transport,Kuat Drive Yards,40000,3.2,90,1.0,1.0,20,1 day,walker,1.0
AT-TE,All Terrain Tactical Enforcer,"Rothana Heavy Engineering, Kuat Drive Yards",,13.2,60,6.0,36.0,10000,21 days,walker,6.0
SPHA,Self-Propelled Heavy Artillery,Rothana Heavy Engineering,,140,35,25.0,30.0,500,7 days,walker,1.2
Flitknot speeder,Flitknot speeder,Huppla Pasa Tisc Shipwrights Collective,8000,2,634,1.0,1.0,,,speeder,1.0
Neimoidian shuttle,Sheathipede-class transport shuttle,Haor Chall Engineering,,20,880,2.0,6.0,1000,7 days,transport,3.0
Geonosian starfighter,Nantex-class territorial defense,Huppla Pasa Tisc Shipwrights Collective,,9.8,20000,1.0,1.0,,,starfighter,1.0
